csv
"Day","Meal","Food","Calories","Serving Size (g)","Fats (g)","Carbohydrates (g)","Sugars (g)","Proteins (g)","Percent Daily Value (%)","Calcium (mg)","Iron (mg)","Potassium (mg)","Fiber (g)"
"Monday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Monday","Snack","Apple","95","182","0.3","25.1","19.0","0.5","3%","11","0.2","195","4.4"
"Monday","Lunch","Carrot Salad","120","150","7.0","14.0","6.0","2.0","5%","40","0.3","250","4.0"
"Monday","Snack","Walnuts","185","30","18.5","3.9","0.7","4.3","4%","28","0.8","125","1.9"
"Monday","Dinner","Brussels Sprouts","38","100","0.3","8.0","2.0","3.0","4%","37","1.0","251","3.8"
"Monday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Monday","Total","Total","562","","","","","","","","","","",""
"Tuesday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Tuesday","Snack","Kiwi","42","75","0.4","10.1","6.0","0.8","1%","30","0.2","215","2.1"
"Tuesday","Lunch","Spinach Salad","70","100","4.0","10.0","1.0","3.0","4%","30","0.8","200","2.0"
"Tuesday","Snack","Hazelnuts","178","30","17.0","5.0","1.0","4.0","4%","30","0.5","125","2.7"
"Tuesday","Dinner","Cauliflower","25","100","0.3","5.0","2.0","2.0","3%","20","0.2","200","2.0"
"Tuesday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Tuesday","Total","Total","439","","","","","","","","","","",""
"Wednesday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Wednesday","Snack","Pear","102","178","0.3","27.0","17.0","0.6","3%","12","0.2","206","5.1"
"Wednesday","Lunch","Potato Mash","130","150","4.0","30.0","2.0","3.0","5%","20","0.5","300","3.0"
"Wednesday","Snack","Chestnuts","69","30","0.6","15.0","1.0","1.0","2%","1","0.3","125","1.4"
"Wednesday","Dinner","Mushroom Stir-fry","50","100","2.0","8.0","1.0","3.0","4%","10","0.2","200","2.0"
"Wednesday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Wednesday","Total","Total","475","","","","","","","","","","",""
"Thursday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Thursday","Snack","Radishes","16","100","0.1","3.4","1.9","0.4","1%","10","0.1","200","1.6"
"Thursday","Lunch","Leek Soup","80","200","4.0","12.0","2.0","3.0","5%","30","0.5","250","4.0"
"Thursday","Snack","Walnuts","185","30","18.5","3.9","0.7","4.3","4%","28","0.8","125","1.9"
"Thursday","Dinner","Turnip Mash","40","100","0.3","10.0","2.0","1.0","2%","20","0.2","200","2.0"
"Thursday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Thursday","Total","Total","445","","","","","","","","","","",""
"Friday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Friday","Snack","Grapes","69","150","0.2","18.0","16.0","0.6","2%","18","0.2","150","0.9"
"Friday","Lunch","Beet Salad","80","150","4.0","15.0","5.0","3.0","5%","20","0.5","250","4.0"
"Friday","Snack","Hazelnuts","178","30","17.0","5.0","1.0","4.0","4%","30","0.5","125","2.7"
"Friday","Dinner","Fennel Stir-fry","40","100","0.3","10.0","2.0","1.0","2%","20","0.2","200","2.0"
"Friday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Friday","Total","Total","491","","","","","","","","","","",""
"Saturday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Saturday","Snack","Pomegranate","83","100","0.2","21.0","14.0","1.0","2%","10","0.2","200","3.0"
"Saturday","Lunch","Cabbage Salad","50","150","2.0","10.0","2.0","3.0","4%","30","0.5","250","4.0"
"Saturday","Snack","Chestnuts","69","30","0.6","15.0","1.0","1.0","2%","1","0.3","125","1.4"
"Saturday","Dinner","Broccoli Stir-fry","55","100","0.6","11.0","2.0","4.0","4%","20","0.4","200","3.0"
"Saturday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Saturday","Total","Total","409","","","","","","","","","","",""
"Sunday","Breakfast","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Sunday","Snack","Apple","95","182","0.3","25.1","19.0","0.5","3%","11","0.2","195","4.4"
"Sunday","Lunch","Potato Salad","130","150","4.0","30.0","2.0","3.0","5%","20","0.5","300","3.0"
"Sunday","Snack","Walnuts","185","30","18.5","3.9","0.7","4.3","4%","28","0.8","125","1.9"
"Sunday","Dinner","Cauliflower","25","100","0.3","5.0","2.0","2.0","3%","20","0.2","200","2.0"
"Sunday","Snack","Orange","62","130","0.2","15.4","12.2","1.2","2%","40","0.1","237","3.1"
"Total Calories for Sunday","Total","Total","489","","","","","","","","","","",""
