
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Omelette with spinach and garlic,300,2 eggs,20,2,1,24,15,50,2,300,2
Monday,Snack,Tangerine,50,1 medium,0,13,10,1,2,30,0,150,1
Monday,Lunch,Grilled chicken with broccoli and olive oil,500,150g,20,10,0,50,25,30,2,600,5
Monday,Snack,Almonds,200,30g,18,6,1,8,10,75,1,200,3
Monday,Dinner,Lentil soup with carrots and onions,350,1 bowl,5,60,5,20,15,40,3,500,10
Total Calories for Monday, , , 1400, , , , , , , , , ,

Tuesday,Breakfast,Smoothie with blueberries and kiwi,250,1 cup,5,50,20,5,10,20,1,300,5
Tuesday,Snack,Clementine,40,1 medium,0,10,8,1,2,25,0,130,1
Tuesday,Lunch,Chickpea salad with tomatoes and olive oil,450,1 bowl,15,60,5,15,20,50,3,400,8
Tuesday,Snack,Carrot sticks with hummus,150,1 cup,5,20,5,5,5,30,1,200,4
Tuesday,Dinner,Grilled fish with sweet potatoes,400,150g,15,40,5,30,20,20,2,500,6
Total Calories for Tuesday, , , 1290, , , , , , , , , ,

Wednesday,Breakfast,Yogurt with pomegranate seeds,200,1 cup,5,30,10,8,10,30,1,250,2
Wednesday,Snack,Apple,80,1 medium,0,22,10,0,2,25,0,150,4
Wednesday,Lunch,Stuffed bell peppers with quinoa and vegetables,500,1 pepper,10,70,5,15,15,40,3,600,7
Wednesday,Snack,Olive oil and vinegar salad,150,1 serving,14,5,0,1,5,10,0,100,0
Wednesday,Dinner,Chicken stir-fry with Brussels sprouts,400,150g,15,30,5,30,20,30,2,400,5
Total Calories for Wednesday, , , 1310, , , , , , , , , ,

Thursday,Breakfast,Chia pudding with almond milk and kiwi,250,1 cup,10,30,10,5,10,20,1,300,5
Thursday,Snack,Pear,100,1 medium,0,28,10,1,2,25,0,150,5
Thursday,Lunch,Vegetable soup with chickpeas,400,1 bowl,5,60,5,20,15,40,3,500,8
Thursday,Snack,Blueberries,70,1 cup,0,18,10,1,2,20,0,150,3
Thursday,Dinner,Grilled chicken with roasted carrots,450,150g,15,30,5,30,20,30,2,400,6
Total Calories for Thursday, , , 1370, , , , , , , , , ,

Friday,Breakfast,Oatmeal with almonds and tangerines,300,1 bowl,10,50,15,8,10,30,1,300,5
Friday,Snack,Clementine,40,1 medium,0,10,8,1,2,25,0,130,1
Friday,Lunch,Quinoa salad with spinach and feta,450,1 bowl,15,60,5,15,20,50,3,400,8
Friday,Snack,Carrot sticks,50,1 cup,0,12,5,1,2,20,0,100,2
Friday,Dinner,Lentil stew with potatoes,400,1 bowl,5,70,5,20,15,40,3,500,10
Total Calories for Friday, , , 1240, , , , , , , , , ,

Saturday,Breakfast,Smoothie with spinach and banana,250,1 cup,5,50,20,5,10,20,1,300,5
Saturday,Snack,Apple,80,1 medium,0,22,10,0,2,25,0,150,4
Saturday,Lunch,Grilled fish with quinoa and vegetables,500,150g,15,40,5,30,20,20,2,500,6
Saturday,Snack,Almonds,200,30g,18,6,1,8,10,75,1,200,3
Saturday,Dinner,Chicken and vegetable stir-fry,400,150g,15,30,5,30,20,30,2,400,5
Total Calories for Saturday, , , 1410, , , , , , , , , ,

Sunday,Breakfast,Yogurt with blueberries,200,1 cup,5,30,10,8,10,30,1,250,2
Sunday,Snack,Tangerine,50,1 medium,0,13,10,1,2,30,0,150,1
Sunday,Lunch,Chickpea curry with rice,500,1 bowl,15,60,5,20,15,40,3,600,8
Sunday,Snack,Carrot sticks with hummus,150,1 cup,5,20,5,5,5,30,1,200,4
Sunday,Dinner,Grilled chicken with roasted sweet potatoes,400,150g,15,30,5,30,20,30,2,400,5
Total Calories for Sunday, , , 1300, , , , , , , , , ,
