csv
Day,Meal,Food Item,Serving Size,Calories,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Yogurt with Apples,200g,150,5,20,10,8,10,150,0.5,300,2
Monday,Snack,Pomegranate,1 medium,100,0,25,20,1,2,20,0.3,200,5
Monday,Lunch,Chickpea Salad with Spinach,250g,350,10,50,5,15,20,80,3,400,10
Monday,Snack,Carrots with Hummus,100g,120,6,15,5,3,4,5,30,0.5,150,3
Monday,Dinner,Grilled Chicken with Broccoli,200g,400,15,0,0,40,30,2,50,0.5,600,5
Total Calories for Monday, , , , 1120, , , , , , , , ,

Tuesday,Breakfast,Omelette with Bell Peppers,2 eggs,200,15,2,2,1,12,10,50,1,300,0
Tuesday,Snack,Grapes,1 cup,100,0,27,23,1,2,20,0.3,150,1
Tuesday,Lunch,Lentil Soup,250g,250,5,40,5,15,15,50,3,300,8
Tuesday,Snack,Orange,1 medium,60,0,15,12,1,2,50,0.1,250,3
Tuesday,Dinner,Stuffed Eggplant,200g,350,20,30,10,15,25,5,70,2,500,6
Total Calories for Tuesday, , , , 960, , , , , , , , ,

Wednesday,Breakfast,Smoothie with Spinach and Banana,300ml,200,2,40,20,5,5,10,30,0.5,300,5
Wednesday,Snack,Tangerine,1 medium,50,0,12,10,1,2,20,0.2,150,1
Wednesday,Lunch,Quinoa Salad with Feta,250g,350,15,40,5,15,20,100,2,400,5
Wednesday,Snack,Beets with Yogurt,150g,120,5,20,5,3,4,5,30,0.5,200,3
Wednesday,Dinner,Grilled Fish with Zucchini,200g,400,20,0,0,40,30,2,50,0.5,600,5
Total Calories for Wednesday, , , , 1120, , , , , , , , ,

Thursday,Breakfast,Oatmeal with Honey and Apples,200g,250,5,45,15,10,5,10,50,1,300,5
Thursday,Snack,Carrots,1 medium,25,0,6,3,0,0,10,0.1,100,1
Thursday,Lunch,Chickpea Stew with Potatoes,250g,400,10,60,10,15,20,80,3,400,10
Thursday,Snack,Fresh Herbs Salad,100g,50,2,10,2,2,2,20,0.5,150,2
Thursday,Dinner,Roasted Chicken with Cabbage,200g,450,25,0,0,40,30,2,50,0.5,600,5
Total Calories for Thursday, , , , 1175, , , , , , , , ,

Friday,Breakfast,Yogurt with Pomegranate,200g,150,5,20,10,8,10,150,0.5,300,2
Friday,Snack,Grapes,1 cup,100,0,27,23,1,2,20,0.3,150,1
Friday,Lunch,Lentil Salad with Spinach,250g,350,10,50,5,15,20,80,3,400,10
Friday,Snack,Carrots with Hummus,100g,120,6,15,5,3,4,5,30,0.5,150,3
Friday,Dinner,Grilled Chicken with Broccoli,200g,400,15,0,0,40,30,2,50,0.5,600,5
Total Calories for Friday, , , , 1120, , , , , , , , ,

Saturday,Breakfast,Omelette with Bell Peppers,2 eggs,200,15,2,2,1,12,10,50,1,300,0
Saturday,Snack,Tangerine,1 medium,50,0,12,10,1,2,20,0.2,150,1
Saturday,Lunch,Quinoa Salad with Feta,250g,350,15,40,5,15,20,100,2,400,5
Saturday,Snack,Beets with Yogurt,150g,120,5,20,5,3,4,5,30,0.5,200,3
Saturday,Dinner,Stuffed Eggplant,200g,350,20,30,10,15,25,5,70,2,500,6
Total Calories for Saturday, , , , 1120, , , , , , , , ,

Sunday,Breakfast,Smoothie with Spinach and Banana,300ml,200,2,40,20,5,5,10,30,0.5,300,5
Sunday,Snack,Pomegranate,1 medium,100,0,25,20,1,2,20,0.3,200,5
Sunday,Lunch,Chickpea Salad with Spinach,250g,350,10,50,5,15,20,80,3,400,10
Sunday,Snack,Carrots,1 medium,25,0,6,3,0,0,10,0.1,100,1
Sunday,Dinner,Grilled Fish with Zucchini,200g,400,20,0,0,40,30,2,50,0.5,600,5
Total Calories for Sunday, , , , 1120, , , , , , , , ,
