
Day,Meal,Food,Serving Size,Calories,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Avocado Toast with Tomato,1 slice,250,15,30,2,5,10,30,1.5,400,7
Monday,Snack,Guava,1 medium,68,0.2,15,5,1.6,1,18,0.2,250,5
Monday,Lunch,Grilled Chicken Salad with Spinach and Bell Pepper,1 bowl,350,10,20,3,40,20,50,2.5,600,5
Monday,Snack,Chia Seed Pudding,1/2 cup,150,7,20,5,5,5,15,1.5,200,5
Monday,Dinner,Quinoa with Broccoli and Carrot,1 cup,220,4,40,5,8,10,30,2.5,450,5
Total Calories for Monday,,,"",1038,,,,,,,,,
Tuesday,Breakfast,Smoothie with Banana and Papaya,1 cup,200,1,50,10,2,5,10,0.5,300,5
Tuesday,Snack,Almonds,1 oz,160,14,6,1,6,8,6,1.0,200,3
Tuesday,Lunch,Lentil Soup with Zucchini,1 bowl,250,5,40,5,15,15,20,3.0,500,8
Tuesday,Snack,Orange,1 medium,62,0.2,15,12,1.2,1,6,0.1,250,3
Tuesday,Dinner,Grilled Fish with Sweet Potato,1 fillet,300,10,25,4,30,15,10,1.5,600,5
Total Calories for Tuesday,,,"",972,,,,,,,,,
Wednesday,Breakfast,Oatmeal with Lime and Chia Seeds,1 cup,220,4,40,5,8,10,15,1.0,300,6
Wednesday,Snack,Cucumber Slices,1 cup,16,0.2,4,2,1,1,2,0.1,150,1
Wednesday,Lunch,Black Bean Tacos with Avocado,2 tacos,350,15,45,3,15,20,25,3.0,400,8
Wednesday,Snack,Pomegranate,1 medium,234,1,60,39,5,4,30,0.5,300,6
Wednesday,Dinner,Stir-fried Vegetables with Chicken,1 plate,300,10,30,5,30,15,20,2.5,500,5
Total Calories for Wednesday,,,"",1120,,,,,,,,,
Thursday,Breakfast,Smoothie with Spinach and Banana,1 cup,180,1,40,10,2,5,10,0.5,300,5
Thursday,Snack,Carrot Sticks,1 cup,50,0.2,12,5,1,1,2,0.1,150,2
Thursday,Lunch,Quinoa Salad with Corn and Bell Pepper,1 bowl,300,5,50,5,10,10,20,2.0,400,6
Thursday,Snack,Almonds,1 oz,160,14,6,1,6,8,6,1.0,200,3
Thursday,Dinner,Grilled Chicken with Broccoli,1 plate,350,10,30,3,40,20,50,2.5,600,5
Total Calories for Thursday,,,"",1040,,,,,,,,,
Friday,Breakfast,Avocado Toast with Lime,1 slice,250,15,30,2,5,10,30,1.5,400,7
Friday,Snack,Guava,1 medium,68,0.2,15,5,1.6,1,18,0.2,250,5
Friday,Lunch,Lentil Salad with Spinach and Tomato,1 bowl,300,5,40,5,15,15,20,3.0,500,8
Friday,Snack,Orange,1 medium,62,0.2,15,12,1.2,1,6,0.1,250,3
Friday,Dinner,Quinoa with Grilled Fish,1 cup,300,10,25,4,30,15,10,1.5,600,5
Total Calories for Friday,,,"",980,,,,,,,,,
Saturday,Breakfast,Oatmeal with Banana,1 cup,220,4,40,5,8,10,15,1.0,300,6
Saturday,Snack,Cucumber Slices,1 cup,16,0.2,4,2,1,1,2,0.1,150,1
Saturday,Lunch,Black Bean Salad with Avocado,1 bowl,350,15,45,3,15,20,25,3.0,400,8
Saturday,Snack,Pomegranate,1 medium,234,1,60,39,5,4,30,0.5,300,6
Saturday,Dinner,Stir-fried Vegetables with Chicken,1 plate,300,10,30,5,30,15,20,2.5,500,5
Total Calories for Saturday,,,"",1120,,,,,,,,,
Sunday,Breakfast,Smoothie with Papaya and Lime,1 cup,200,1,50,10,2,5,10,0.5,300,5
Sunday,Snack,Almonds,1 oz,160,14,6,1,6,8,6,1.0,200,3
Sunday,Lunch,Lentil Soup with Zucchini,1 bowl,250,5,40,5,15,15,20,3.0,500,8
Sunday,Snack,Carrot Sticks,1 cup,50,0.2,12,5,1,1,2,0.1,150,2
Sunday,Dinner,Grilled Fish with Sweet Potato,1 fillet,300,10,25,4,30,15,10,1.5,600,5
Total Calories for Sunday,,,"",960,,,,,,,,,
